MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:20,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.15
10/10/2023 14:20,1.17.0,Bandit,1,3.87,3,15,10,40,Pellet,Right,0,1,1,0,0.24,nan,nan
10/10/2023 14:23,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,1,1,1,1,nan,nan,0.44
10/10/2023 14:23,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,2,1,1,1,nan,nan,0.53
10/10/2023 14:41,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,2,2,1,1,nan,nan,0
10/10/2023 14:42,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,3,2,1,1,nan,nan,0.16
10/10/2023 14:42,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,4,2,1,1,nan,nan,0.25
10/10/2023 14:42,1.17.0,Bandit,1,3.87,nan,15,10,40,LeftinTimeOut,Right,4,2,1,1,nan,nan,nan
10/10/2023 14:43,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,4,3,1,1,nan,nan,0.53
10/10/2023 14:45,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,4,4,1,1,nan,nan,0.22
10/10/2023 14:45,1.17.0,Bandit,1,3.87,1,15,10,40,Pellet,Right,4,4,2,1,1.77,1474,nan
10/10/2023 14:48,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,5,4,2,2,nan,nan,0.04
10/10/2023 14:51,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,6,4,2,2,nan,nan,0.27
10/10/2023 14:53,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,7,4,2,2,nan,nan,0.03
10/10/2023 14:54,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,8,4,2,2,nan,nan,0.01
10/10/2023 14:56,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,8,5,2,2,nan,nan,0.11
10/10/2023 14:59,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,9,5,2,2,nan,nan,0.05
10/10/2023 15:03,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,10,5,2,2,nan,nan,0.23
10/10/2023 15:04,1.17.0,Bandit,1,3.87,nan,15,10,40,Left,Right,11,5,2,2,nan,nan,0.19
10/10/2023 15:04,1.17.0,Bandit,1,3.87,nan,15,10,40,LeftinTimeOut,Right,11,5,2,2,nan,nan,nan
10/10/2023 15:04,1.17.0,Bandit,1,3.87,nan,15,10,40,Right,Right,11,6,2,2,nan,nan,0.84
