MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:19:07,1.17.0,Bandit,2,4.16,nan,15,10,40,Right,Right,0,1,0,0,nan,nan,0.01
10/10/2023 14:23:37,1.17.0,Bandit,2,4.16,4,15,10,40,Pellet,Right,0,1,1,0,Timed_out,nan,nan
10/10/2023 14:44:05,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,1,1,1,1,nan,nan,0.30
10/10/2023 14:57:07,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,2,1,1,1,nan,nan,0.41
10/10/2023 14:57:09,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,2,1,1,1,nan,nan,nan
10/10/2023 14:57:28,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,3,1,1,1,nan,nan,0.19
10/10/2023 14:58:09,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,4,1,1,1,nan,nan,0.00
10/10/2023 15:33:41,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,5,1,1,1,nan,nan,0.16
10/10/2023 15:34:22,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,6,1,1,1,nan,nan,0.01
10/10/2023 15:34:25,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,6,1,1,1,nan,nan,nan
10/10/2023 15:36:12,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,7,1,1,1,nan,nan,0.05
10/10/2023 16:24:52,1.17.0,Bandit,2,4.15,nan,15,10,40,Left,Right,8,1,1,1,nan,nan,0.04
10/10/2023 16:24:56,1.17.0,Bandit,2,4.16,3,15,10,40,Pellet,Right,8,1,2,1,0.06,7279,nan
10/10/2023 16:25:25,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,9,1,2,2,nan,nan,0.23
10/10/2023 16:25:28,1.17.0,Bandit,2,4.15,nan,15,10,40,LeftinTimeOut,Right,9,1,2,2,nan,nan,nan
10/10/2023 16:25:28,1.17.0,Bandit,2,4.15,nan,15,10,40,LeftinTimeOut,Right,9,1,2,2,nan,nan,nan
10/10/2023 16:25:29,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,9,1,2,2,nan,nan,nan
10/10/2023 16:25:32,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,9,1,2,2,nan,nan,nan
10/10/2023 16:25:37,1.17.0,Bandit,2,4.16,nan,15,10,40,Right,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:41,1.17.0,Bandit,2,4.15,nan,15,10,40,LeftinTimeOut,Right,9,2,2,2,nan,nan,nan
10/10/2023 16:25:45,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:45,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:46,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:46,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:46,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:47,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,9,2,2,2,nan,nan,0.00
10/10/2023 16:25:57,1.17.0,Bandit,2,4.16,nan,15,10,40,Left,Right,10,2,2,2,nan,nan,0.52
10/10/2023 16:25:59,1.17.0,Bandit,2,4.16,2,15,10,40,Pellet,Right,10,2,3,2,0.06,63,nan
10/10/2023 16:26:28,1.17.0,Bandit,2,4.15,nan,15,10,40,Left,Right,11,2,3,3,nan,nan,0.02
10/10/2023 16:26:32,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,11,2,3,3,nan,nan,nan
10/10/2023 16:26:36,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,11,2,3,3,nan,nan,nan
10/10/2023 16:26:37,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,11,2,3,3,nan,nan,nan
10/10/2023 16:26:37,1.17.0,Bandit,2,4.15,nan,15,10,40,LeftinTimeOut,Right,11,2,3,3,nan,nan,nan
10/10/2023 16:26:38,1.17.0,Bandit,2,4.16,nan,15,10,40,LeftinTimeOut,Right,11,2,3,3,nan,nan,nan
10/10/2023 16:26:41,1.17.0,Bandit,2,4.16,nan,15,10,40,Right,Right,11,3,3,3,nan,nan,0.11
10/10/2023 16:26:57,1.17.0,Bandit,2,4.16,2,15,10,40,Pellet,Right,11,3,4,3,11.84,58,nan
10/10/2023 16:27:24,1.17.0,Bandit,2,4.15,nan,15,10,40,Right,Right,11,4,4,4,nan,nan,0.03
10/10/2023 16:27:27,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:28,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:28,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:28,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:32,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:34,1.17.0,Bandit,2,4.15,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:35,1.17.0,Bandit,2,4.16,nan,15,10,40,RightinTimeout,Right,11,4,4,4,nan,nan,0.00
10/10/2023 16:27:37,1.17.0,Bandit,2,4.16,nan,15,10,40,Right,Right,11,5,4,4,nan,nan,0.52
10/10/2023 16:27:39,1.17.0,Bandit,2,4.15,2,15,10,40,Pellet,Right,11,5,5,4,0.06,42,nan
10/10/2023 16:28:05,1.17.0,Bandit,2,4.15,nan,15,10,40,Left,Right,12,5,5,5,nan,nan,0.07
10/10/2023 16:29:17,1.17.0,Bandit,2,4.16,nan,15,10,40,Right,Right,12,6,5,5,nan,nan,0.02
