MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,10/15/2023 11:10:41,1.17.0,Bandit,4,4.18,nan,15,10,40,Right,Right.1,0,1,0.1,0.2,nan.1,nan.2,0.06
10/10/2023 14:22:04,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,1.0,0.0,0.0,0.0,,,0.22,,,,,,,,,,,,,,,,,,
10/10/2023 14:22:34,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,2.0,0.0,0.0,0.0,,,0.62,,,,,,,,,,,,,,,,,,
10/10/2023 14:23:46,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,2.0,1.0,0.0,0.0,,,0.06,,,,,,,,,,,,,,,,,,
10/10/2023 14:24:12,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,3.0,1.0,0.0,0.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:26:53,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,Right,Right,3.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:27:00,1.17.0,Bandit,4.0,4.17,2.0,15.0,10.0,40.0,Pellet,Right,3.0,2.0,1.0,0.0,3.06,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:28:06,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,4.0,2.0,1.0,1.0,,,0.08,,,,,,,,,,,,,,,,,,
10/10/2023 14:29:04,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,4.0,3.0,1.0,1.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:31:49,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.17,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:17,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.28,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:30,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.26,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:46,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.06,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:48,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.43,,,,,,,,,,,,,,,,,,
10/10/2023 14:33:23,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.14,,,,,,,,,,,,,,,,,,
10/10/2023 14:33:48,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.15,,,,,,,,,,,,,,,,,,
10/10/2023 14:36:50,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.06,,,,,,,,,,,,,,,,,,
10/10/2023 14:38:09,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,
10/10/2023 14:38:14,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.07,,,,,,,,,,,,,,,,,,
10/10/2023 14:43:22,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.08,,,,,,,,,,,,,,,,,,
10/10/2023 14:43:34,1.17.0,Bandit,4.0,4.16,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:43:41,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 14:43:51,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightWithPellet,Right,4.0,3.0,1.0,1.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:43:54,1.17.0,Bandit,4.0,4.18,1.0,15.0,10.0,40.0,Pellet,Right,4.0,3.0,2.0,1.0,Timed_out,1014.0,,,,,,,,,,,,,,,,,,,
10/10/2023 14:45:17,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,4.0,4.0,2.0,2.0,,,0.15,,,,,,,,,,,,,,,,,,
10/10/2023 14:45:18,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,4.0,4.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:45:19,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,4.0,4.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:45:26,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,4.0,4.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:45:26,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,4.0,4.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:46:02,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,5.0,4.0,2.0,2.0,,,0.15,,,,,,,,,,,,,,,,,,
10/10/2023 14:47:08,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,6.0,4.0,2.0,2.0,,,0.15,,,,,,,,,,,,,,,,,,
10/10/2023 14:47:19,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,LeftinTimeOut,Right,6.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:47:21,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,7.0,4.0,2.0,2.0,,,0.31,,,,,,,,,,,,,,,,,,
10/10/2023 14:51:49,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,8.0,4.0,2.0,2.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:18,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:19,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:20,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:22,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:22,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:23,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:23,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:23,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:25,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:26,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:26,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:27,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightinTimeout,Right,8.0,5.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:33,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,8.0,6.0,2.0,2.0,,,0.69,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:34,1.17.0,Bandit,4.0,4.16,,15.0,10.0,40.0,RightDuringDispense,Right,8.0,6.0,2.0,2.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:38,1.17.0,Bandit,4.0,4.17,3.0,15.0,10.0,40.0,Pellet,Right,8.0,6.0,3.0,2.0,0.48,524.0,,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:51,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,Right,Right,8.0,7.0,3.0,3.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 14:52:54,1.17.0,Bandit,4.0,4.17,1.0,15.0,10.0,40.0,Pellet,Right,8.0,7.0,4.0,3.0,0.85,16.0,,,,,,,,,,,,,,,,,,,
10/10/2023 14:53:36,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Right,Right,8.0,8.0,4.0,4.0,,,0.27,,,,,,,,,,,,,,,,,,
10/10/2023 14:58:41,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightWithPellet,Right,8.0,8.0,4.0,4.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 14:58:42,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,RightWithPellet,Right,8.0,8.0,4.0,4.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:58:51,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,RightWithPellet,Right,8.0,8.0,4.0,4.0,,,0.13,,,,,,,,,,,,,,,,,,
10/10/2023 14:59:20,1.17.0,Bandit,4.0,4.18,,15.0,10.0,40.0,LeftWithPellet,Right,8.0,8.0,4.0,4.0,,,0.16,,,,,,,,,,,,,,,,,,
10/10/2023 15:09:51,1.17.0,Bandit,4.0,4.18,2.0,15.0,10.0,40.0,Pellet,Right,8.0,8.0,5.0,4.0,Timed_out,1017.0,,,,,,,,,,,,,,,,,,,
10/10/2023 15:19:23,1.17.0,Bandit,4.0,4.16,,15.0,10.0,40.0,Right,Right,8.0,9.0,5.0,5.0,,,0.05,,,,,,,,,,,,,,,,,,
10/10/2023 15:23:46,1.17.0,Bandit,4.0,4.17,,15.0,10.0,40.0,Left,Right,9.0,9.0,5.0,5.0,,,0.27,,,,,,,,,,,,,,,,,,
