MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:38:15,1.17.0,Bandit,8,4.17,nan,15,10,40,Left,Right,1,0,0,0,nan,nan,0.09
10/10/2023 14:39:00,1.17.0,Bandit,8,4.16,nan,15,10,40,Right,Right,1,1,0,0,nan,nan,0.14
10/10/2023 14:39:47,1.17.0,Bandit,8,4.17,nan,15,10,40,Right,Right,1,2,0,0,nan,nan,0.01
10/10/2023 14:41:32,1.17.0,Bandit,8,4.16,nan,15,10,40,Right,Right,1,3,0,0,nan,nan,0.10
10/10/2023 14:42:55,1.17.0,Bandit,8,4.17,nan,15,10,40,Right,Right,1,4,0,0,nan,nan,0.17
10/10/2023 14:43:00,1.17.0,Bandit,8,4.16,3,15,10,40,Pellet,Right,1,4,1,0,0.36,nan,nan
10/10/2023 14:43:34,1.17.0,Bandit,8,4.17,nan,15,10,40,Right,Right,1,5,1,1,nan,nan,0.08
10/10/2023 14:44:01,1.17.0,Bandit,8,4.17,nan,15,10,40,Left,Right,2,5,1,1,nan,nan,0.01
10/10/2023 14:44:19,1.17.0,Bandit,8,4.17,3,15,10,40,Pellet,Right,2,5,2,1,14.04,79,nan
10/10/2023 14:45:00,1.17.0,Bandit,8,4.17,nan,15,10,40,Right,Right,2,6,2,2,nan,nan,0.25
10/10/2023 14:45:01,1.17.0,Bandit,8,4.17,nan,15,10,40,RightinTimeout,Right,2,6,2,2,nan,nan,0.00
10/10/2023 14:45:02,1.17.0,Bandit,8,4.16,nan,15,10,40,RightinTimeout,Right,2,6,2,2,nan,nan,0.00
10/10/2023 14:45:02,1.17.0,Bandit,8,4.16,nan,15,10,40,RightinTimeout,Right,2,6,2,2,nan,nan,0.00
10/10/2023 14:45:13,1.17.0,Bandit,8,4.16,nan,15,10,40,Right,Right,2,7,2,2,nan,nan,0.17
10/10/2023 14:45:18,1.17.0,Bandit,8,4.17,nan,15,10,40,LeftinTimeOut,Right,2,7,2,2,nan,nan,nan
10/10/2023 14:45:22,1.17.0,Bandit,8,4.17,nan,15,10,40,LeftinTimeOut,Right,2,7,2,2,nan,nan,nan
10/10/2023 14:45:23,1.17.0,Bandit,8,4.17,nan,15,10,40,LeftinTimeOut,Right,2,7,2,2,nan,nan,nan
10/10/2023 14:45:44,1.17.0,Bandit,8,4.16,nan,15,10,40,Right,Right,2,8,2,2,nan,nan,0.34
10/10/2023 14:46:12,1.17.0,Bandit,8,4.16,nan,15,10,40,Left,Right,3,8,2,2,nan,nan,0.06
10/10/2023 14:46:14,1.17.0,Bandit,8,4.16,nan,15,10,40,LeftinTimeOut,Right,3,8,2,2,nan,nan,nan
10/10/2023 14:46:16,1.17.0,Bandit,8,4.16,nan,15,10,40,LeftinTimeOut,Right,3,8,2,2,nan,nan,nan
10/10/2023 14:46:18,1.17.0,Bandit,8,4.16,nan,15,10,40,LeftinTimeOut,Right,3,8,2,2,nan,nan,nan
10/10/2023 14:46:23,1.17.0,Bandit,8,4.16,nan,15,10,40,RightinTimeout,Right,3,8,2,2,nan,nan,0.00
10/10/2023 14:46:23,1.17.0,Bandit,8,4.17,nan,15,10,40,RightinTimeout,Right,3,8,2,2,nan,nan,0.00
