MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,10/22/2023 9:46:23,1.17.0,Bandit,10,4.15,nan,15,10.1,40,Right,Right.1,0,1,0.1,0.2,nan.1,nan.2,0.18
10/10/2023 14:40:53,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Right,Right,0.0,1.0,0.0,0.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:41:33,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.02,,,,,,,,,,,,,,,,,,
10/10/2023 14:44:33,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.35,,,,,,,,,,,,,,,,,,
10/10/2023 14:44:50,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.18,,,,,,,,,,,,,,,,,,
10/10/2023 14:44:52,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.16,,,,,,,,,,,,,,,,,,
10/10/2023 14:46:22,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:48:05,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,1.08,,,,,,,,,,,,,,,,,,
10/10/2023 15:01:40,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.06,,,,,,,,,,,,,,,,,,
10/10/2023 15:01:48,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.1,,,,,,,,,,,,,,,,,,
10/10/2023 15:01:53,1.17.0,Bandit,10.0,4.01,1.0,15.0,10.0,40.0,Pellet,Right,0.0,1.0,1.0,0.0,Timed_out,,,,,,,,,,,,,,,,,,,,
10/10/2023 15:03:18,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,1.0,1.0,1.0,1.0,,,0.1,,,,,,,,,,,,,,,,,,
10/10/2023 15:06:47,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,2.0,1.0,1.0,1.0,,,0.02,,,,,,,,,,,,,,,,,,
10/10/2023 15:07:08,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Left,Right,3.0,1.0,1.0,1.0,,,0.39,,,,,,,,,,,,,,,,,,
10/10/2023 15:07:11,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,LeftinTimeOut,Right,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 15:07:39,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Right,Right,3.0,2.0,1.0,1.0,,,0.19,,,,,,,,,,,,,,,,,,
10/10/2023 15:07:42,1.17.0,Bandit,10.0,4.0,1.0,15.0,10.0,40.0,Pellet,Right,3.0,2.0,2.0,1.0,1.89,349.0,,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:32,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Left,Right,4.0,2.0,2.0,2.0,,,0.1,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:39,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightinTimeout,Right,4.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:45,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Right,Right,4.0,3.0,2.0,2.0,,,0.68,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:46,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,4.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:49,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,LeftinTimeOut,Right,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:51,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,LeftinTimeOut,Right,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:54,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,LeftinTimeOut,Right,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:55,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,LeftinTimeOut,Right,4.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:45:57,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,5.0,3.0,2.0,2.0,,,0.25,,,,,,,,,,,,,,,,,,
10/10/2023 16:46:04,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:46:05,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightinTimeout,Right,5.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:46:06,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,3.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:46:39,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Right,Right,5.0,4.0,2.0,2.0,,,0.1,,,,,,,,,,,,,,,,,,
10/10/2023 16:46:41,1.17.0,Bandit,10.0,4.0,1.0,15.0,10.0,40.0,Pellet,Right,5.0,4.0,3.0,2.0,0.85,5939.0,,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:06,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Right,Right,5.0,5.0,3.0,3.0,,,0.13,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:11,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:11,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:11,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,RightinTimeout,Right,5.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:15,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:47:16,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,5.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:49:30,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,6.0,5.0,3.0,3.0,,,0.12,,,,,,,,,,,,,,,,,,
10/10/2023 16:49:32,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,LeftinTimeOut,Right,6.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:11,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,7.0,5.0,3.0,3.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:13,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,LeftinTimeOut,Right,7.0,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:18,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,7.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:18,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,7.0,5.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:41,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Right,Right,7.0,6.0,3.0,3.0,,,0.22,,,,,,,,,,,,,,,,,,
10/10/2023 16:50:45,1.17.0,Bandit,10.0,4.0,3.0,15.0,10.0,40.0,Pellet,Right,7.0,6.0,4.0,3.0,0.06,244.0,,,,,,,,,,,,,,,,,,,
10/10/2023 16:57:25,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Left,Right,8.0,6.0,4.0,4.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 16:59:55,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,Left,Right,9.0,6.0,4.0,4.0,,,0.05,,,,,,,,,,,,,,,,,,
10/10/2023 17:00:22,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Right,Right,9.0,7.0,4.0,4.0,,,0.13,,,,,,,,,,,,,,,,,,
10/10/2023 17:00:35,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightWithPellet,Right,9.0,8.0,4.0,4.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 17:00:36,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightWithPellet,Right,9.0,9.0,4.0,4.0,,,0.19,,,,,,,,,,,,,,,,,,
10/10/2023 18:49:56,1.17.0,Bandit,10.0,4.0,4.0,15.0,10.0,40.0,Pellet,Right,9.0,9.0,5.0,4.0,Timed_out,7151.0,,,,,,,,,,,,,,,,,,,
10/10/2023 18:50:27,1.17.0,Bandit,10.0,4.01,,15.0,10.0,40.0,Right,Right,9.0,10.0,5.0,5.0,,,0.04,,,,,,,,,,,,,,,,,,
10/10/2023 18:50:29,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,9.0,10.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 18:50:31,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,9.0,10.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 18:50:31,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,9.0,10.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 18:50:32,1.17.0,Bandit,10.0,4.0,,15.0,10.0,40.0,RightinTimeout,Right,9.0,10.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
