MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,10/21/2023 17:35:03,1.17.0,Bandit,11,4.14,nan,15,10,40,Left,Right,1,0,0.1,0.2,nan.1,nan.2,1.17
10/10/2023 14:31:00,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,Right,Right,0.0,1.0,0.0,0.0,,,0.72,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:31,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.18,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:43,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.41,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:49,1.17.0,Bandit,11.0,3.85,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.01,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:52,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.06,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:53,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.53,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:57,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.23,,,,,,,,,,,,,,,,,,
10/10/2023 14:34:11,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.25,,,,,,,,,,,,,,,,,,
10/10/2023 14:36:31,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.14,,,,,,,,,,,,,,,,,,
10/10/2023 14:40:05,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,RightWithPellet,Right,0.0,1.0,0.0,0.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:40:20,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.25,,,,,,,,,,,,,,,,,,
10/10/2023 14:40:23,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.24,,,,,,,,,,,,,,,,,,
10/10/2023 14:40:33,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.11,,,,,,,,,,,,,,,,,,
10/10/2023 14:40:34,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,0.0,1.0,0.0,0.0,,,0.27,,,,,,,,,,,,,,,,,,
10/10/2023 14:41:23,1.17.0,Bandit,11.0,3.87,1.0,15.0,10.0,40.0,Pellet,Right,0.0,1.0,1.0,0.0,Timed_out,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:41:27,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,Left,Right,1.0,1.0,1.0,1.0,,,0.14,,,,,,,,,,,,,,,,,,
10/10/2023 14:46:20,1.17.0,Bandit,11.0,3.86,,15.0,10.0,40.0,Left,Right,2.0,1.0,1.0,1.0,,,0.09,,,,,,,,,,,,,,,,,,
10/10/2023 14:46:25,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,LeftinTimeOut,Right,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:46:48,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,Right,Right,2.0,2.0,1.0,1.0,,,0.14,,,,,,,,,,,,,,,,,,
10/10/2023 14:47:46,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,Right,Right,2.0,3.0,1.0,1.0,,,0.12,,,,,,,,,,,,,,,,,,
10/10/2023 14:49:09,1.17.0,Bandit,11.0,3.87,,15.0,10.0,40.0,Left,Right,3.0,3.0,1.0,1.0,,,0.12,,,,,,,,,,,,,,,,,,
