MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:36:44,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,1,0,0,0,nan,nan,0.20
10/10/2023 14:37:09,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,1,1,0,0,nan,nan,0.17
10/10/2023 14:38:30,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,1,2,0,0,nan,nan,0.22
10/10/2023 14:43:54,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,2,2,0,0,nan,nan,0.09
10/10/2023 14:46:11,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,3,2,0,0,nan,nan,1.57
10/10/2023 14:46:46,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,3,3,0,0,nan,nan,0.06
10/10/2023 14:48:26,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,4,3,0,0,nan,nan,0.13
10/10/2023 14:49:55,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,4,4,0,0,nan,nan,0.01
10/10/2023 14:49:57,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,4,4,0,0,nan,nan,0.00
10/10/2023 14:49:57,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,4,4,0,0,nan,nan,0.00
10/10/2023 14:51:22,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,4,5,0,0,nan,nan,0.23
10/10/2023 14:51:29,1.17.0,Bandit,19,4.22,nan,15,10,40,LeftinTimeOut,Right,4,5,0,0,nan,nan,nan
10/10/2023 14:56:33,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,5,5,0,0,nan,nan,0.05
10/10/2023 14:56:35,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,5,5,0,0,nan,nan,0.00
10/10/2023 14:56:36,1.17.0,Bandit,19,4.21,nan,15,10,40,RightinTimeout,Right,5,5,0,0,nan,nan,0.00
10/10/2023 14:56:36,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,5,5,0,0,nan,nan,0.00
10/10/2023 14:56:40,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,5,5,0,0,nan,nan,0.00
10/10/2023 14:56:59,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,6,5,0,0,nan,nan,0.20
10/10/2023 14:57:22,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,6,6,0,0,nan,nan,0.01
10/10/2023 14:57:28,1.17.0,Bandit,19,4.22,3,15,10,40,Pellet,Right,6,6,1,0,0.25,nan,nan
10/10/2023 15:06:34,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,7,6,1,1,nan,nan,0.28
10/10/2023 15:10:05,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,7,7,1,1,nan,nan,0.37
10/10/2023 15:11:31,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,8,7,1,1,nan,nan,0.09
10/10/2023 15:11:36,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,8,7,1,1,nan,nan,0.00
10/10/2023 15:11:38,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,8,7,1,1,nan,nan,0.00
10/10/2023 15:12:07,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,9,7,1,1,nan,nan,0.51
10/10/2023 15:12:55,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,9,8,1,1,nan,nan,0.03
10/10/2023 15:13:06,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,9,8,1,1,nan,nan,0.00
10/10/2023 15:13:06,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,9,8,1,1,nan,nan,0.00
10/10/2023 16:15:32,1.17.0,Bandit,19,4.21,nan,15,10,40,Left,Right,10,8,1,1,nan,nan,0.34
10/10/2023 16:15:35,1.17.0,Bandit,19,4.22,1,15,10,40,Pellet,Right,10,8,2,1,0.88,4687,nan
10/10/2023 16:16:35,1.17.0,Bandit,19,4.22,nan,15,10,40,Right,Right,10,9,2,2,nan,nan,0.24
10/10/2023 16:16:39,1.17.0,Bandit,19,4.22,nan,15,10,40,RightinTimeout,Right,10,9,2,2,nan,nan,0.00
10/10/2023 16:16:39,1.17.0,Bandit,19,4.21,nan,15,10,40,RightinTimeout,Right,10,9,2,2,nan,nan,0.00
10/10/2023 16:16:39,1.17.0,Bandit,19,4.21,nan,15,10,40,RightinTimeout,Right,10,9,2,2,nan,nan,0.00
10/10/2023 16:16:43,1.17.0,Bandit,19,4.21,nan,15,10,40,LeftinTimeOut,Right,10,9,2,2,nan,nan,nan
10/10/2023 16:16:45,1.17.0,Bandit,19,4.21,nan,15,10,40,LeftinTimeOut,Right,10,9,2,2,nan,nan,nan
10/10/2023 16:16:47,1.17.0,Bandit,19,4.21,nan,15,10,40,LeftinTimeOut,Right,10,9,2,2,nan,nan,nan
10/10/2023 16:16:56,1.17.0,Bandit,19,4.22,nan,15,10,40,Left,Right,11,9,2,2,nan,nan,1.27
10/10/2023 16:17:02,1.17.0,Bandit,19,4.22,nan,15,10,40,LeftinTimeOut,Right,11,9,2,2,nan,nan,nan
10/10/2023 16:17:03,1.17.0,Bandit,19,4.21,nan,15,10,40,LeftinTimeOut,Right,11,9,2,2,nan,nan,nan
