MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,10/21/2023 17:28:49,1.17.0,Bandit,27,4.19,nan,15,10,40,Right,Right.1,0,1,0.1,0.2,nan.1,nan.2,0.13
10/10/2023 14:23:11,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Right,Right,0.0,1.0,0.0,0.0,,,0.07,,,,,,,,,,,,,,,,,,
10/10/2023 14:23:14,1.17.0,Bandit,27.0,3.87,1.0,15.0,10.0,40.0,Pellet,Right,0.0,1.0,1.0,0.0,1.13,,,,,,,,,,,,,,,,,,,,
10/10/2023 14:24:56,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Left,Right,1.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
10/10/2023 14:28:06,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Left,Right,2.0,1.0,1.0,1.0,,,0.05,,,,,,,,,,,,,,,,,,
10/10/2023 14:28:57,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Left,Right,3.0,1.0,1.0,1.0,,,0.12,,,,,,,,,,,,,,,,,,
10/10/2023 14:29:09,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Left,Right,4.0,1.0,1.0,1.0,,,0.09,,,,,,,,,,,,,,,,,,
10/10/2023 14:31:47,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Right,Right,4.0,2.0,1.0,1.0,,,0.28,,,,,,,,,,,,,,,,,,
10/10/2023 14:32:45,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,Right,Right,4.0,3.0,1.0,1.0,,,0.07,,,,,,,,,,,,,,,,,,
10/10/2023 14:33:51,1.17.0,Bandit,27.0,3.87,,15.0,10.0,40.0,LeftWithPellet,Right,4.0,3.0,1.0,1.0,,,0.26,,,,,,,,,,,,,,,,,,
10/10/2023 14:33:53,1.17.0,Bandit,27.0,3.87,1.0,15.0,10.0,40.0,Pellet,Right,4.0,3.0,2.0,1.0,Timed_out,639.0,,,,,,,,,,,,,,,,,,,
