MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/10/2023 14:56,1.17.0,Bandit,15,4.01,nan,15,10,40,Left,Right,1,0,0,0,nan,nan,0
10/10/2023 14:57,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,1,0,0,0,nan,nan,nan
10/10/2023 14:57,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,1,0,0,0,nan,nan,0
10/10/2023 14:58,1.17.0,Bandit,15,4.01,nan,15,10,40,Right,Right,1,1,0,0,nan,nan,0.7
10/10/2023 14:58,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,1,1,0,0,nan,nan,nan
10/10/2023 14:59,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,1,2,0,0,nan,nan,0.42
10/10/2023 14:59,1.17.0,Bandit,15,4,1,15,10,40,Pellet,Right,1,2,1,0,0.82,nan,nan
10/10/2023 15:02,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,1,3,1,1,nan,nan,0.19
10/10/2023 15:02,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,1,3,1,1,nan,nan,nan
10/10/2023 15:02,1.17.0,Bandit,15,4.01,nan,15,10,40,Right,Right,1,4,1,1,nan,nan,0.32
10/10/2023 15:02,1.17.0,Bandit,15,4.01,3,15,10,40,Pellet,Right,1,4,2,1,16.06,192,nan
10/10/2023 15:05,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,2,4,2,2,nan,nan,0.22
10/10/2023 15:05,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,3,4,2,2,nan,nan,0.1
10/10/2023 15:07,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,4,4,2,2,nan,nan,0.16
10/10/2023 15:08,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,5,4,2,2,nan,nan,0.13
10/10/2023 15:12,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,6,4,2,2,nan,nan,0.02
10/10/2023 15:12,1.17.0,Bandit,15,4.01,nan,15,10,40,LeftinTimeOut,Right,6,4,2,2,nan,nan,nan
10/10/2023 15:16,1.17.0,Bandit,15,4.01,nan,15,10,40,Left,Right,7,4,2,2,nan,nan,0.18
10/10/2023 15:18,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,8,4,2,2,nan,nan,0.21
10/10/2023 15:18,1.17.0,Bandit,15,4.01,nan,15,10,40,Left,Right,9,4,2,2,nan,nan,0.21
10/10/2023 15:20,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,9,5,2,2,nan,nan,0.04
10/10/2023 15:20,1.17.0,Bandit,15,4,nan,15,10,40,RightDuringDispense,Right,9,5,2,2,nan,nan,0.09
10/10/2023 15:20,1.17.0,Bandit,15,4.01,3,15,10,40,Pellet,Right,9,5,3,2,0.82,1042,nan
10/10/2023 15:20,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,10,5,3,3,nan,nan,0.1
10/10/2023 15:20,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,10,5,3,3,nan,nan,nan
10/10/2023 15:20,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,11,5,3,3,nan,nan,0.02
10/10/2023 15:23,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,11,6,3,3,nan,nan,0.18
10/10/2023 15:27,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,12,6,3,3,nan,nan,0.04
10/10/2023 15:27,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,12,6,3,3,nan,nan,nan
10/10/2023 15:35,1.17.0,Bandit,15,4,nan,15,10,40,Left,Right,13,6,3,3,nan,nan,0.18
10/10/2023 15:41,1.17.0,Bandit,15,4.01,nan,15,10,40,Right,Right,13,7,3,3,nan,nan,0.06
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,8,3,3,nan,nan,0.18
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,8,3,3,nan,nan,0
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,8,3,3,nan,nan,0
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,8,3,3,nan,nan,0
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,8,3,3,nan,nan,0
10/10/2023 15:47,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,8,3,3,nan,nan,0
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,13,8,3,3,nan,nan,nan
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,13,8,3,3,nan,nan,nan
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,LeftinTimeOut,Right,13,8,3,3,nan,nan,nan
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,9,3,3,nan,nan,0.27
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,9,3,3,nan,nan,0
10/10/2023 15:48,1.17.0,Bandit,15,4.01,nan,15,10,40,RightinTimeout,Right,13,9,3,3,nan,nan,0
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,9,3,3,nan,nan,0
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,9,3,3,nan,nan,0
10/10/2023 15:48,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,9,3,3,nan,nan,0
10/10/2023 15:50,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,10,3,3,nan,nan,0.45
10/10/2023 15:58,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,11,3,3,nan,nan,0.09
10/10/2023 16:15,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,12,3,3,nan,nan,0.01
10/10/2023 16:15,1.17.0,Bandit,15,4,2,15,10,40,Pellet,Right,13,12,4,3,3.29,3340,nan
10/10/2023 16:16,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,13,4,4,nan,nan,0.02
10/10/2023 16:56,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,14,4,4,nan,nan,0.34
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,15,4,4,nan,nan,0.16
10/10/2023 16:59,1.17.0,Bandit,15,4,2,15,10,40,Pellet,Right,13,15,5,4,1.64,2589,nan
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,16,5,5,nan,nan,0.04
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,17,5,5,nan,nan,0.39
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4.01,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 16:59,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,17,5,5,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,18,5,5,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,1,15,10,40,Pellet,Right,13,18,6,5,0.56,63,nan
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,19,6,6,nan,nan,0.15
10/10/2023 17:00,1.17.0,Bandit,15,4.01,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,3.99,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:00,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,19,6,6,nan,nan,0
10/10/2023 17:02,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,20,6,6,nan,nan,0.23
10/10/2023 17:02,1.17.0,Bandit,15,4,nan,15,10,40,RightDuringDispense,Right,13,20,6,6,nan,nan,0.03
10/10/2023 17:02,1.17.0,Bandit,15,4,3,15,10,40,Pellet,Right,13,20,7,6,0.25,155,nan
10/10/2023 17:34,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,21,7,7,nan,nan,1.3
10/10/2023 17:34,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,21,7,7,nan,nan,0
10/10/2023 17:34,1.17.0,Bandit,15,4.01,nan,15,10,40,RightinTimeout,Right,13,21,7,7,nan,nan,0
10/10/2023 17:34,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,21,7,7,nan,nan,0
10/10/2023 17:34,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,21,7,7,nan,nan,0
10/10/2023 17:36,1.17.0,Bandit,15,4,nan,15,10,40,Right,Right,13,22,7,7,nan,nan,0.19
10/10/2023 17:36,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,22,7,7,nan,nan,0
10/10/2023 17:36,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,22,7,7,nan,nan,0
10/10/2023 17:36,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,22,7,7,nan,nan,0
10/10/2023 17:36,1.17.0,Bandit,15,4,nan,15,10,40,RightinTimeout,Right,13,22,7,7,nan,nan,0
