MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,PelletsToSwitch,Prob_left,Prob_right,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/17/2023 16:41:26,1.17.0,Bandit,25,4.18,nan,15,10,40,Left,Right,1,0,0,0,nan,nan,0.06
10/17/2023 16:41:27,1.17.0,Bandit,25,4.18,nan,15,10,40,RightinTimeout,Right,1,0,0,0,nan,nan,0.00
10/17/2023 16:42:24,1.17.0,Bandit,25,4.17,nan,15,10,40,Left,Right,2,0,0,0,nan,nan,0.12
10/17/2023 16:43:13,1.17.0,Bandit,25,4.18,nan,15,10,40,Right,Right,2,1,0,0,nan,nan,0.08
10/17/2023 16:43:15,1.17.0,Bandit,25,4.18,nan,15,10,40,RightinTimeout,Right,2,1,0,0,nan,nan,0.00
10/17/2023 16:44:32,1.17.0,Bandit,25,4.18,nan,15,10,40,Left,Right,3,1,0,0,nan,nan,0.24
10/17/2023 16:44:37,1.17.0,Bandit,25,4.17,nan,15,10,40,RightinTimeout,Right,3,1,0,0,nan,nan,0.00
10/17/2023 16:44:38,1.17.0,Bandit,25,4.18,nan,15,10,40,RightinTimeout,Right,3,1,0,0,nan,nan,0.00
10/17/2023 16:45:06,1.17.0,Bandit,25,4.18,nan,15,10,40,Right,Right,3,2,0,0,nan,nan,0.02
10/17/2023 16:47:07,1.17.0,Bandit,25,4.18,nan,15,10,40,Left,Right,4,2,0,0,nan,nan,0.15
10/17/2023 16:47:12,1.17.0,Bandit,25,4.18,nan,15,10,40,LeftinTimeOut,Right,4,2,0,0,nan,nan,nan
10/17/2023 16:47:16,1.17.0,Bandit,25,4.17,nan,15,10,40,LeftinTimeOut,Right,4,2,0,0,nan,nan,nan
10/17/2023 16:48:23,1.17.0,Bandit,25,4.17,nan,15,10,40,Left,Right,5,2,0,0,nan,nan,0.41
10/17/2023 16:48:26,1.17.0,Bandit,25,4.18,nan,15,10,40,RightinTimeout,Right,5,2,0,0,nan,nan,0.00
